source_id,target_id,type
TKT001,Cloud Architecture,REQUIRES_SKILL
TKT001,System Design,REQUIRES_SKILL
TKT002,Cybersecurity,REQUIRES_SKILL
TKT002,Network Security,REQUIRES_SKILL
TKT003,Cloud Architecture,REQUIRES_SKILL
TKT003,System Design,REQUIRES_SKILL
TKT003,Cybersecurity,REQUIRES_SKILL
TKT004,Kubernetes,REQUIRES_SKILL
TKT004,CI/CD Pipeline,REQUIRES_SKILL
TKT005,SQL,REQUIRES_SKILL
TKT005,Python,REQUIRES_SKILL
TKT005,Troubleshooting,REQUIRES_SKILL
TKT006,Cloud Architecture,REQUIRES_SKILL
TKT006,Terraform,REQUIRES_SKILL
TKT007,Python,REQUIRES_SKILL
TKT007,Data Analysis,REQUIRES_SKILL
TKT007,SQL,REQUIRES_SKILL
TKT008,CI/CD Pipeline,REQUIRES_SKILL
TKT008,Kubernetes,REQUIRES_SKILL
TKT008,Troubleshooting,REQUIRES_SKILL
TKT009,Cybersecurity,REQUIRES_SKILL
TKT009,Penetration Testing,REQUIRES_SKILL
TKT010,CRM,REQUIRES_SKILL
TKT010,SQL,REQUIRES_SKILL
TKT010,Troubleshooting,REQUIRES_SKILL
TKT011,Negotiation,REQUIRES_SKILL
TKT011,Presentation,REQUIRES_SKILL
TKT011,System Design,REQUIRES_SKILL
TKT012,Linux Administration,REQUIRES_SKILL
TKT012,Troubleshooting,REQUIRES_SKILL
TKT012,Monitoring,REQUIRES_SKILL
TKT013,Cloud Architecture,REQUIRES_SKILL
TKT013,Cybersecurity,REQUIRES_SKILL
TKT013,Network Security,REQUIRES_SKILL
TKT014,Terraform,REQUIRES_SKILL
TKT014,CI/CD Pipeline,REQUIRES_SKILL
TKT014,Monitoring,REQUIRES_SKILL
TKT015,Presentation,REQUIRES_SKILL
TKT015,Negotiation,REQUIRES_SKILL
TKT015,CRM,REQUIRES_SKILL
TKT016,Python,REQUIRES_SKILL
TKT016,SQL,REQUIRES_SKILL
TKT016,Data Analysis,REQUIRES_SKILL
TKT017,Network Security,REQUIRES_SKILL
TKT017,Cybersecurity,REQUIRES_SKILL
TKT017,Penetration Testing,REQUIRES_SKILL
TKT018,Monitoring,REQUIRES_SKILL
TKT018,Linux Administration,REQUIRES_SKILL
TKT018,Troubleshooting,REQUIRES_SKILL
TKT019,Cloud Architecture,REQUIRES_SKILL
TKT019,System Design,REQUIRES_SKILL
TKT019,Python,REQUIRES_SKILL
TKT020,Negotiation,REQUIRES_SKILL
TKT020,Presentation,REQUIRES_SKILL
TKT020,Python,REQUIRES_SKILL
TKT021,CI/CD Pipeline,REQUIRES_SKILL
TKT021,Kubernetes,REQUIRES_SKILL
TKT021,Linux Administration,REQUIRES_SKILL
TKT022,Cybersecurity,REQUIRES_SKILL
TKT022,Penetration Testing,REQUIRES_SKILL
TKT022,Network Security,REQUIRES_SKILL
TKT023,Cloud Architecture,REQUIRES_SKILL
TKT023,System Design,REQUIRES_SKILL
TKT023,Terraform,REQUIRES_SKILL
TKT024,SQL,REQUIRES_SKILL
TKT024,Python,REQUIRES_SKILL
TKT024,Troubleshooting,REQUIRES_SKILL
TKT025,Data Analysis,REQUIRES_SKILL
TKT025,Python,REQUIRES_SKILL
TKT025,SQL,REQUIRES_SKILL
TKT026,Linux Administration,REQUIRES_SKILL
TKT026,Monitoring,REQUIRES_SKILL
TKT026,Troubleshooting,REQUIRES_SKILL
TKT027,CRM,REQUIRES_SKILL
TKT027,Negotiation,REQUIRES_SKILL
TKT027,Data Analysis,REQUIRES_SKILL
TKT028,Cybersecurity,REQUIRES_SKILL
TKT028,Network Security,REQUIRES_SKILL
TKT029,System Design,REQUIRES_SKILL
TKT029,Cloud Architecture,REQUIRES_SKILL
TKT029,Kubernetes,REQUIRES_SKILL
TKT030,Presentation,REQUIRES_SKILL
TKT030,Negotiation,REQUIRES_SKILL
TKT030,Data Analysis,REQUIRES_SKILL
